"Aion Test Page","Aion Test Page"
"unable to process request","Speedy: заявката не може да бъде обработена"
"Shipping &amp; Handling Information","Информация за доставка"
"Track Order","Проследяване на доставката"
"Incl. Tax","с ДДС"
"No shipping information available","Speedy: Не може да се калкулира цена за доставка"
"Payment &amp; Shipping Method","Начин на плащане и доставка"
"Payment Information","Информация за плащане"
"The order was placed using %1.","Поръчката беше създадена с %1."
"Shipping and Tracking Information","Информация за доставка"
"Track this shipment","Проследяване на доставката"
Print,"Печат"
"Total Shipping Charges","Общо разходи за доставка"
"Items Shipped","Общо доставени"
"Order Total","Общо"
"Shipment History","История на доставките"
"Generate Waybill","Generate Waybill"
"Click Here","Натиснете тук"
"Econt Shipping","Доставка с Еконт"
"Калкулирай цена","Калкулирай цена"
"Моля попълнете всички задължителни полета!","Моля попълнете всички задължителни полета!"
"Доставка с Еконт","Доставка с Еконт"
Submit,"ОК"
"Цена на доставката: ","Цена на доставката: "
" наложен платеж"," наложен платеж"
"Deliver With Econt","Доставка с Еконт"
Enabled,"Включено"
Title,"Заглавие"
"Method Name","Име на метода"
"Logo HTML","Лого HTML"
"Shop Identifier","Shop Identifier"
"Shop Secret Key","Shop Secret Key"
"Econt Demo Service","Интерфейс за демонстрации"
"Displayed Error Message","Съобщение при грешки"
"Ship to Applicable Countries","Доставка до приложимите държави"
"Ship to Specific Countries","Доставка до избраните държави"
"Show Method if Not Applicable","Показване на метода ако не е наличен"
"Sort Order","Подредба"
"To ship with EKONT please do not forget to press the 'Recalculate Price' button after you enter the address!","За доставки с ЕКОНТ моля не забравяйте да натиснете бутона 'Изчисли цената' след като въведете адреса!"
