"Aion Test Page","Aion Test Page"
"unable to process request","unable to process request"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Track Order","Track Order"
"Incl. Tax","Incl. Tax"
"No shipping information available","No shipping information available"
"Payment &amp; Shipping Method","Payment &amp; Shipping Method"
"Payment Information","Payment Information"
"The order was placed using %1.","The order was placed using %1."
"Shipping and Tracking Information","Shipping and Tracking Information"
"Track this shipment","Track this shipment"
Print,Print
"Total Shipping Charges","Total Shipping Charges"
"Items Shipped","Items Shipped"
"Order Total","Order Total"
"Shipment History","Shipment History"
"Generate Waybill","Generate Waybill"
"Click Here","Click Here"
"Econt Shipping","Econt Shipping"
"Калкулирай цена","Калкулирай цена"
"Моля попълнете всички задължителни полета!","Моля попълнете всички задължителни полета!"
"Доставка с Еконт","Доставка с Еконт"
Submit,Submit
"Цена на доставката: ","Цена на доставката: "
" наложен платеж"," наложен платеж"
"Deliver With Econt","Deliver With Econt"
Enabled,Enabled
Title,Title
"Method Name","Method Name"
"Logo HTML","Logo HTML"
"Shop Identifier","Shop Identifier"
"Shop Secret Key","Shop Secret Key"
"Econt Demo Service","Econt Demo Service"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"To ship with EKONT please do not forget to press the 'Recalculate Price' button after you enter the address!","To ship with EKONT please do not forget to press the 'Recalculate Price' button after you enter the address!"
